id,en,ru
building_new.floor_4.toilet_3,3,3
building_new.floor_4.stair_7,7,7
building_new.floor_4.room_4222_n,4222,4222
building_new.floor_4.room_4208_n,4208,4208
building_new.floor_4.room_4221_n,4221,4221
building_new.floor_4.room_4209_n,4209,4209
building_new.floor_4.room_4220_n,4220,4220
building_new.floor_4.room_4210_n,4210,4210
building_new.floor_4.room_4218_n,4218,4218
building_new.floor_4.room_4211_n,4211,4211
building_new.floor_4.room_4212_n,4212,4212
building_new.floor_4.room_4213_n,4213,4213
building_new.floor_4.stair_8,8,8
building_new.floor_4.room_4216_n,4216,4216
building_new.floor_4.room_4214_n,4214,4214
building_new.floor_4.room_4215_n,4215,4215
building_new.floor_4.diner_1,1,1
building_new.floor_4.room_4135_n,4135,4135
building_new.floor_4.room_4136_n,4136,4136
building_new.floor_4.room_4137_n,4137,4137
building_new.floor_4.room_4138_n,4138,4138
building_new.floor_4.room_4139_n,4139,4139
building_new.floor_4.elevator_4,4,4
building_new.floor_4.toilet_4,4,4
building_new.floor_4.stair_9,9,9
building_new.floor_4.room_4140_n,4140,4140
building_new.floor_4.elevator_5,5,5
building_new.floor_4.room_4119_n,4119,4119
building_new.floor_4.room_4118_n,4118,4118
building_new.floor_4.room_4141_n,4141,4141
building_new.floor_4.room_4117_n,4117,4117
building_new.floor_4.disabledToilet_1,1,1
building_new.floor_4.stair_10,10,10
building_new.floor_4.room_4148_n,4148,4148
building_new.floor_4.room_4150_n,4150,4150
building_new.floor_4.room_4151_n,4151,4151
building_new.floor_4.toilet_5,5,5
building_new.floor_4.elevator_6,6,6
building_new.floor_4.stair_11,11,11
building_new.floor_4.room_4107_n,4107,4107
building_new.floor_4.room_4115_n,4115,4115
building_new.floor_4.room_4114_n,4114,4114
building_new.floor_4.room_4113_n,4113,4113
building_new.floor_4.room_4112_n,4112,4112
building_new.floor_4.room_4111_n,4111,4111
building_new.floor_4.room_4110_n,4110,4110
building_new.floor_4.room_4108_n,4108,4108
building_new.floor_4.room_4109_n,4109,4109
building_new.floor_4.room_4105_n,4105,4105
building_new.floor_4.stair_12,12,12
